"","YEAR","SERIAL","PERNUM","STATEFIP","RELATE","RELATED","MOMLOC","POPLOC","NCHILD","SEX","AGE","mother_age","father_age","MARST","married_dummy","RACE","HISPAN","EDUC","hs_binary","HHINCOME","inc_3cat","NUMPREC","FAMSIZE","PERWT"
"4849",2011,216832,1,8,1,101,4,0,1,1,53,83,NA,1,1,1,0,6,"High School or More",63100,"$20,000+",4,4,33
"4850",2011,216867,2,8,3,301,1,0,0,1,55,81,NA,4,0,1,0,10,"High School or More",38850,"$20,000+",2,2,78
"4851",2011,216934,2,8,3,301,1,0,0,2,56,84,NA,4,0,1,0,6,"High School or More",25300,"$20,000+",2,2,74
"4852",2011,217024,2,8,3,301,1,0,1,2,46,92,NA,1,1,1,0,6,"High School or More",87690,"$20,000+",4,4,114
"4853",2011,217036,3,8,3,301,1,2,0,1,49,68,88,4,0,1,0,6,"High School or More",59500,"$20,000+",3,3,71
"4854",2011,217299,2,8,3,301,1,0,0,1,58,81,NA,6,0,1,0,6,"High School or More",146600,"$20,000+",2,2,73
"4855",2011,217576,2,8,3,301,1,0,1,1,47,82,NA,6,0,1,0,6,"High School or More",10900,"< $20,000",3,3,116
"4856",2011,217638,3,8,3,301,2,1,0,2,53,80,82,2,1,1,0,6,"High School or More",138300,"$20,000+",9,8,77
"4857",2011,217638,4,8,3,301,2,1,3,2,41,80,82,4,0,1,0,6,"High School or More",138300,"$20,000+",9,8,81
"4858",2011,217938,2,8,3,301,1,0,0,1,56,82,NA,4,0,1,0,6,"High School or More",52210,"$20,000+",2,2,118
"4859",2011,217958,2,8,3,301,1,0,0,2,63,92,NA,6,0,1,0,10,"High School or More",40340,"$20,000+",2,2,136
"4860",2011,217975,1,8,1,101,2,0,0,2,66,88,NA,4,0,1,0,6,"High School or More",57200,"$20,000+",2,2,102
"4861",2011,218146,2,8,2,201,3,0,0,2,58,81,NA,1,1,1,0,6,"High School or More",141402,"$20,000+",3,3,45
"4862",2011,218353,3,8,3,301,1,2,0,1,45,67,80,6,0,1,0,6,"High School or More",85340,"$20,000+",3,3,12
"4863",2011,218404,3,8,3,301,1,2,0,2,46,86,85,6,0,1,0,10,"High School or More",35600,"$20,000+",3,3,115
"4864",2011,218409,1,8,1,101,2,0,0,2,64,92,NA,6,0,1,0,10,"High School or More",34500,"$20,000+",2,2,53
"4865",2011,218418,2,8,2,201,4,0,1,2,54,83,NA,1,1,1,0,8,"High School or More",200080,"$20,000+",5,4,88
"4866",2011,218427,1,8,1,101,3,0,0,1,62,92,NA,1,1,1,0,10,"High School or More",71100,"$20,000+",3,3,73
"4867",2011,218591,1,8,1,101,4,0,1,2,51,84,NA,1,1,1,0,6,"High School or More",41600,"$20,000+",5,4,38
"4868",2011,218664,2,8,3,301,1,0,0,1,61,92,NA,4,0,1,0,10,"High School or More",43400,"$20,000+",2,2,46
